sku,name,description
PROD-001,Wireless Mouse,Ergonomic wireless mouse with USB receiver
PROD-002,Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches
PROD-003,USB-C Cable,High-speed USB-C to USB-C cable 6ft
PROD-004,Laptop Stand,Adjustable aluminum laptop stand
PROD-005,Webcam HD,1080p HD webcam with built-in microphone
PROD-006,Desk Lamp,LED desk lamp with touch control
PROD-007,Phone Charger,Fast wireless charging pad for smartphones
PROD-008,Headphones,Noise-cancelling over-ear headphones
PROD-009,Monitor 27",27-inch 4K UHD monitor with HDR
PROD-010,Desk Mat,Large gaming desk mat with non-slip base
